iter	Logloss
0	0.6838348585
1	0.673554507
2	0.6649716277
3	0.6570531824
4	0.6491609894
5	0.6403414362
6	0.633068372
7	0.6255890369
8	0.6178492796
9	0.6107520171
10	0.6041742525
11	0.5982121972
12	0.590931674
13	0.5846640455
14	0.5785681824
15	0.5722408847
16	0.5664139169
17	0.5610976911
18	0.5540128946
19	0.5483461642
20	0.5431482829
21	0.5387522121
22	0.5342022013
23	0.52939111
24	0.5239551234
25	0.5187588716
26	0.5138559635
27	0.5078077715
28	0.5029977376
29	0.4985150159
30	0.4949408438
31	0.4906286005
32	0.4865617783
33	0.4830527809
34	0.4784988605
35	0.4751428018
36	0.4716252633
37	0.4680449534
38	0.4647015072
39	0.4596787869
40	0.4556910056
41	0.4524491043
42	0.4488299779
43	0.4455279643
44	0.4427445282
45	0.4395316248
46	0.4368902576
47	0.4342393751
48	0.4313933301
49	0.4281448636
50	0.4257023676
51	0.4232472343
52	0.421244127
53	0.4178223475
54	0.4143228516
55	0.4116869044
56	0.4082712022
57	0.4044906859
58	0.4021164322
59	0.3993306635
60	0.3962497187
61	0.3941454157
62	0.3926249372
63	0.390588707
64	0.3883601311
65	0.3863889288
66	0.384749268
67	0.3827528569
68	0.3812395002
69	0.3789777283
70	0.3761275881
71	0.3743325895
72	0.3720931212
73	0.3700868431
74	0.3682792649
75	0.3666143845
76	0.3651907544
77	0.3635832521
78	0.3621942367
79	0.3610118716
80	0.3597062522
81	0.3578057489
82	0.3560346179
83	0.3547742218
84	0.3533451461
85	0.3521127764
86	0.3500444943
87	0.3485938048
88	0.3475202843
89	0.3463785788
90	0.3452808865
91	0.3440390155
92	0.342386204
93	0.3413311436
94	0.3398990055
95	0.3386455984
96	0.3375311207
97	0.3364531711
98	0.3354348725
99	0.334509559
100	0.3327046408
101	0.3318562245
102	0.3308998356
103	0.3294301118
104	0.3285855534
105	0.327565919
106	0.3267321069
107	0.3259931338
108	0.3251162681
109	0.3244930278
110	0.3234255768
111	0.3219490751
112	0.321143262
113	0.3203860552
114	0.3195516637
115	0.3186123694
116	0.3179301786
117	0.3171391132
118	0.3165408579
119	0.3159435603
120	0.3152249052
121	0.314469792
122	0.3137522661
123	0.3130692469
124	0.3123082769
125	0.3117366643
126	0.3110597537
127	0.3104811735
128	0.3094201143
129	0.30886013
130	0.3082757696
131	0.3077671197
132	0.3070395976
133	0.3063246781
134	0.3058164897
135	0.3053667489
136	0.3047274641
137	0.3041789341
138	0.3035987126
139	0.303140691
140	0.3024129225
141	0.3017668046
142	0.3011218984
143	0.3006309897
144	0.3001683074
145	0.2996536911
146	0.2992420495
147	0.2987395531
148	0.2982464465
149	0.2978886911
150	0.2974047255
151	0.2967082702
152	0.2962099277
153	0.2959201007
154	0.2950036306
155	0.2945684791
156	0.2941369702
157	0.2935963573
158	0.2928025095
159	0.2923074861
160	0.2917389551
161	0.2913299426
162	0.290912403
163	0.2905880906
164	0.2902845386
165	0.2898934784
166	0.2895155847
167	0.2890530347
168	0.2888380043
169	0.2884944862
170	0.2882226965
171	0.2877795865
172	0.2874226723
173	0.2871346672
174	0.2865449883
175	0.2862777127
176	0.2859650242
177	0.2856594164
178	0.2853800236
179	0.2850154805
180	0.2845881078
181	0.284272016
182	0.2839744623
183	0.2836503545
184	0.2833753314
185	0.2830270254
186	0.2827698278
187	0.2824497707
188	0.2822070473
189	0.2819907732
190	0.2817384678
191	0.2813229309
192	0.280631275
193	0.2804934543
194	0.2799259742
195	0.2796209403
196	0.2792958236
197	0.2790403646
198	0.2787325613
199	0.2784076437
200	0.2781594783
201	0.2778954288
202	0.2776391888
203	0.2773904558
204	0.2771241618
205	0.2768753019
206	0.276533343
207	0.2763440526
208	0.2761393491
209	0.275995923
210	0.2757732627
211	0.2755369589
212	0.2752554791
213	0.2750025439
214	0.2747743837
215	0.2745025907
216	0.2743586115
217	0.2741033765
