iter	Passed	Remaining
0	145	72491
1	147	36667
2	149	24709
3	151	18734
4	153	15161
5	154	12761
6	156	11049
7	159	9783
8	161	8797
9	163	8004
10	165	7356
11	167	6812
12	169	6345
13	171	5944
14	173	5604
15	175	5304
16	177	5037
17	179	4798
18	181	4586
19	183	4393
20	184	4219
21	186	4062
22	189	3920
23	191	3788
24	193	3667
25	194	3554
26	196	3448
27	198	3350
28	200	3262
29	202	3180
30	204	3099
31	206	3025
32	208	2955
33	210	2888
34	212	2824
35	214	2761
36	216	2702
37	217	2647
38	219	2594
39	221	2545
40	223	2498
41	224	2451
42	226	2408
43	228	2367
44	230	2327
45	231	2289
46	233	2252
47	235	2217
48	237	2184
49	239	2153
50	241	2122
51	242	2092
52	244	2063
53	246	2035
54	248	2009
55	250	1983
56	251	1958
57	253	1933
58	255	1910
59	257	1886
60	259	1864
61	260	1842
62	262	1821
63	264	1801
64	266	1781
65	267	1761
66	269	1742
67	271	1724
68	273	1707
69	275	1690
70	276	1673
71	278	1657
72	280	1641
73	282	1625
74	284	1609
75	285	1594
76	287	1580
77	289	1565
78	291	1551
79	293	1538
80	294	1524
81	296	1510
82	298	1497
83	299	1484
84	301	1472
85	303	1460
86	305	1448
87	307	1438
88	308	1426
89	310	1415
90	312	1403
91	314	1392
92	315	1381
93	317	1371
94	319	1361
95	321	1351
96	322	1341
97	324	1332
98	326	1322
99	328	1313
100	329	1303
101	331	1294
102	333	1285
103	335	1276
104	337	1268
105	338	1259
106	340	1250
107	342	1242
108	344	1234
109	345	1225
110	347	1217
111	349	1209
112	350	1201
113	352	1194
114	354	1186
115	356	1179
116	357	1171
117	359	1164
118	361	1157
119	363	1149
120	364	1142
121	366	1136
122	368	1129
123	370	1122
124	371	1115
125	373	1108
126	375	1102
127	377	1095
128	378	1089
129	380	1082
130	382	1076
131	383	1070
132	385	1064
133	387	1057
134	389	1051
135	390	1045
136	392	1039
137	394	1034
138	395	1028
139	397	1022
140	399	1016
141	401	1011
