iter	Logloss
0	0.6834840136
1	0.6741544583
2	0.6643467786
3	0.6569937127
4	0.6479507965
5	0.6392622843
6	0.6282702622
7	0.6195027016
8	0.6098580248
9	0.6020234082
10	0.5942141041
11	0.5853002547
12	0.5783010275
13	0.5712821569
14	0.5641632249
15	0.5556456892
16	0.5477698733
17	0.5414780278
18	0.5337036158
19	0.5267833647
20	0.5206729832
21	0.515182421
22	0.5092555998
23	0.5021606828
24	0.4980672284
25	0.4926680007
26	0.4879175943
27	0.4838039329
28	0.4789294525
29	0.47239551
30	0.4680652358
31	0.4638298418
32	0.4589507717
33	0.4546045231
34	0.4501676418
35	0.4463788822
36	0.441878454
37	0.4382893023
38	0.4344145505
39	0.4306015445
40	0.4261496275
41	0.4233837671
42	0.4203865711
43	0.4171901804
44	0.4138931653
45	0.411198537
46	0.406772098
47	0.4033824907
48	0.3999320048
49	0.3966514584
