iter	Passed	Remaining
0	1	144
1	2	122
2	3	113
3	4	107
4	5	104
5	6	101
6	7	99
7	8	97
8	9	96
9	10	94
10	11	93
11	12	92
12	13	91
13	14	90
14	15	90
15	16	89
16	18	88
17	19	87
18	20	86
19	21	85
20	22	84
21	23	82
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	32	73
31	33	72
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	40	64
39	41	62
40	42	61
41	43	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	43
59	62	41
60	64	40
61	64	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	101	3
97	102	2
98	103	1
99	104	0
