iter	Passed	Remaining
0	64	12900
1	88	8756
2	127	8387
3	159	7792
4	190	7448
5	208	6753
6	235	6498
7	263	6328
8	321	6815
9	374	7114
10	408	7011
11	502	7869
12	570	8207
13	604	8025
14	634	7822
15	679	7810
16	711	7657
17	758	7666
18	786	7488
19	808	7278
20	840	7166221	876	7095222	904	6961
23	965	7080
24	1011	7082
25	1068	7148
26	1101	7057
27	1147	7048
28	1214	7161
29	1294	7333
30	1342	7318
31	1360	7144
32	1391	7039
33	1409	6882
34	1440	6789
35	1487	6776
36	1534	6753737	1580	6733838	1606	6633939	1646	6584040	1694	6574141	1736	6534242	1800	6574343	1855	65844	1956	6737
45	2000	6697
4646	2002	6514747	2050	64948	2163	6667
4949	2172	65150	2270	6634
51	2307	6566
52	2370	6575
53	2462	6657
54	2515	6632
55	2580	6635
56	2614	6559
57	2652	6492
5858	2640	6305959	2664	62160	2746	6257
61	2778	6185
6262	2753	5986363	2788	5926464	2815	5846565	2861	5806666	2938	5832
67	2971	5766868	2994	5686969	3023	5617070	3055	5557171	3089	5497272	3147	5475
73	3198	5445
74	3248	5413
75	3272	5340
76	3301	5273
77	3317	5188
78	3341	5117
79	3361	5041
80	3400	4995
81	3425	4929
82	3448	4861
83	3472	4795
84	3493	4726
85	3541	4698686	3611	4698787	3633	46288	3735	4659
89	3774	4613
9090	3763	4509191	3821	4489292	3846	4429393	3898	4399494	3928	4349595	3950	4289696	3968	4219797	3987	4149898	4010	4099999	4026	40210100	4040	39610101	4053	38910102	4072	38310103	4088	37710104	4105	37110105	4119	36510106	4136	35910107	4152	35310108	4166	34710109	4182	34211110	4198	33611111	4214	33111112	4230	32511113	4243	32011114	4259	31411115	4279	30911116	4294	30411117	4310	299118	4388	2987
119	4406	2937
120	4421	2887
121	4438	2837
122	4457	2790
123	4474	2742
124	4488	2693
125	4504	2645
126	4521	2598
127	4539	2553
128	4553	2506
129	4571	2461
13130	4535	23813131	4553	23413132	4568	23013133	4589	22613134	4605	22113135	4622	21713136	4638	21313137	4686	21013138	4707	20613139	4727	20214140	4745	198141	4822	1969
14142	4785	19014143	4799	18614144	4813	18214145	4828	17814146	4849	17414147	4868	17114148	4880	16714149	4899	16315150	4915	15915151	4930	15515152	4945	15115153	4963	14815154	4985	14415155	5000	14115156	5017	13715157	5036	13315158	5054	13015159	5068	12616160	5087	12316161	5104	11916162	5116	11616163	5131	11216164	5145	10916165	5161	10516166	5181	102167	5253	1000
168	5278	968
169	5304	936
170	5328	903
171	5357	872
172	5387	840
173	5432	811
174	5477	782
175	5507	751
176	5528	718
177	5553	686
178	5569	653
179	5584	620
180	5598	587
181	5618	555
182	5636	523
183	5654	491
184	5674	460
185	5694	428
186	5712	397
187	5731	365
188	5744	334
189	5760	303
190	5780	272
191	5807	241
192	5834	211
193	5852	181
194	5881	150
195	5897	120
196	5913	90
197	5931	59
198	5949	29
199	5965	0

