iter	Logloss
0	0.6480670836
1	0.5985120405
2	0.5679454291
3	0.5387830384
4	0.5099097365
5	0.4791357183
6	0.4583299677
7	0.4397043751
8	0.4223124648
9	0.4050222495
10	0.3938680824
11	0.3867996362
12	0.3711963622
13	0.3630739235
14	0.3537719683
15	0.3426904483
16	0.3360195537
17	0.3294322483
18	0.3202115554
19	0.3145400612
20	0.3089966402
21	0.3052315051
22	0.3016834199
23	0.2968272291
24	0.2921764828
25	0.2890431979
26	0.2867446634
27	0.2831483016
28	0.2806981181
29	0.2786317328
30	0.2759091353
31	0.2740872628
32	0.2721484649
33	0.2702745862
34	0.2679341376
35	0.2666972518
36	0.2648221749
37	0.263158513
38	0.2616423842
39	0.2610559748
40	0.259395294
41	0.2580073259
42	0.2564726893
43	0.2546172681
44	0.2534772256
45	0.252596457
46	0.2513388475
47	0.2500879537
48	0.2493968531
49	0.2482160573
50	0.2476544659
51	0.2467656818
52	0.2461958937
53	0.2454557646
54	0.244501693
55	0.2436318116
56	0.242303166
57	0.2416643075
58	0.240675724
59	0.2396194399
60	0.2388058366
61	0.23803387
62	0.2368253597
63	0.2359402888
64	0.2356010445
65	0.2346417705
66	0.2337825007
67	0.2333117329
68	0.2324676913
69	0.2316336636
70	0.2307834987
71	0.2295804706
72	0.2290691088
73	0.2284450037
74	0.2279756275
75	0.2274601333
76	0.2268134265
77	0.2262993619
78	0.22557511
79	0.2248929196
80	0.2241828005
81	0.2228109667
82	0.222285286
83	0.2217497068
84	0.2213084166
85	0.2209786427
86	0.2203545701
87	0.2200525521
88	0.2197344317
89	0.2194702888
90	0.2181920739
91	0.2176779092
92	0.2171785905
93	0.2165274393
94	0.2158420325
95	0.2153163156
96	0.2150878255
97	0.2144329832
98	0.2137802332
99	0.2136781639
