iter	Passed	Remaining
0	136	27144
1	138	13712
2	140	9254
3	143	7008
4	145	5660
5	147	4759
6	149	4129
7	152	3650
8	154	3278
9	157	2985
10	159	2739
11	174	2731
12	176	2537
13	178	2371
14	180	2228
15	182	2102
16	184	1990
17	186	1889
18	189	1802
19	191	1720
20	193	1648
21	195	1584
22	198	1526
23	200	1472
24	203	1423
25	205	1375
26	207	1332
27	210	1290
28	212	1252
29	214	1216
30	216	1182
31	219	1150
32	221	1120
33	223	1092
34	226	1065
35	228	1039
36	230	1015
37	232	992
38	235	970
39	237	950
40	239	930
41	242	911
42	244	892
43	246	875
44	249	857
45	251	841
46	253	826
47	256	810
48	258	796
49	260	782
50	263	768
51	265	755
52	267	742
53	270	730
54	272	717
55	274	706
56	277	695
57	279	684
58	282	674
59	284	663
60	286	653
61	289	643
62	291	633
63	293	624
64	296	614
65	298	605
66	300	597
67	303	588
68	305	579
69	307	570
70	309	562
71	311	553
72	314	546
73	316	539
74	319	532
75	321	524
76	323	516
77	325	509
78	328	502
79	330	496
80	333	489
81	335	483
82	338	476
83	340	470
84	342	463
85	345	457
86	348	452
87	350	446
88	352	440
89	355	434
90	357	428
91	359	422
92	361	416
93	364	410
94	366	405
95	369	399
96	371	394
97	373	389
98	376	383
99	378	378
100	380	373
101	383	368
102	385	363
103	388	358
104	390	353
105	392	348
106	394	343
107	397	338
108	399	333
109	401	328
110	404	324
111	406	319
112	409	315
113	411	310
114	413	305
115	416	301
116	418	297
117	421	292
118	423	288
119	426	284
120	428	279
121	431	275
122	433	271
123	436	267
124	438	263
125	441	259
126	443	254
127	445	250
128	448	246
129	450	242
130	453	238
131	455	234
132	458	230
133	460	227
134	463	223
135	465	219
136	468	215
137	470	211
138	473	207
139	475	203
140	477	199
141	480	196
142	482	192
143	484	188
144	487	184
145	489	180
146	492	177
147	494	173
148	497	170
149	499	166
150	501	162
151	504	159
152	507	155
153	509	152
154	511	148
155	514	145
156	516	141
157	518	137
158	520	134
159	523	130
160	525	127
161	527	123
162	530	120
163	532	116
164	535	113
165	538	110
166	540	106
167	542	103
168	545	100
169	547	96
170	550	93
171	552	90
172	555	86
173	558	83
174	560	80
175	562	76
176	565	73
177	568	70
178	570	66
179	573	63
180	575	60
181	578	57
182	580	53
183	583	50
184	585	47
185	587	44
186	590	41
187	593	37
188	595	34
189	598	31
190	600	28
191	603	25
192	605	21
193	608	18
194	610	15
195	613	12
196	616	9
197	618	6
198	621	3
199	623	0
